term_id,doc_id,term_frequency,df
3290,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1, 'FR940810-2-00021': 1}",8,8
3291,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 2, 'FR940810-2-00019': 2, 'FR940810-2-00020': 2, 'FR940810-2-00021': 1}",12,8
3292,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 2, 'FR940810-2-00019': 2, 'FR940810-2-00020': 2, 'FR940810-2-00021': 1}",12,8
3293,"{'FR940128-2-00037': 3, 'FR940128-2-00041': 1, 'FR940810-2-00019': 2}",6,3
3294,"{'FR940128-2-00037': 3, 'FR940128-2-00041': 1, 'FR940810-2-00019': 2}",6,3
3295,"{'FR940128-2-00037': 3, 'FR940128-2-00041': 1, 'FR940810-2-00019': 2}",6,3
3296,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 2, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940128-2-00041': 2, 'FR940810-2-00019': 2, 'FR940810-2-00020': 2}",14,7
3297,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 8, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",14,7
3298,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3299,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3300,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3301,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3302,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3303,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 2, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940128-2-00041': 2}",10,5
3304,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 2, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940128-2-00041': 2}",10,5
3305,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 3, 'FR940128-2-00039': 2, 'FR940128-2-00040': 3, 'FR940128-2-00041': 2, 'FR940810-2-00019': 2, 'FR940810-2-00020': 3, 'FR940810-2-00021': 1}",18,8
3306,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3307,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3308,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3309,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940405-1-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",13,8
3310,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940405-1-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",13,8
3311,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940405-1-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",13,8
3312,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",12,7
3313,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",12,7
3314,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",9,7
3315,"{'FR940128-2-00037': 2, 'FR940128-2-00038': 1, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940128-2-00041': 2, 'FR940810-2-00019': 2, 'FR940810-2-00020': 2}",13,7
3316,"{'FR940128-2-00037': 1, 'FR940128-2-00040': 1, 'FR940617-2-00194': 1, 'FR940617-2-00195': 2, 'FR940617-2-00196': 2}",7,5
3317,"{'FR940128-2-00037': 1, 'FR940128-2-00041': 1, 'FR940810-0-00153': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1, 'FR941006-1-00081': 1}",6,6
3318,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1}",6,6
3319,"{'FR940128-2-00037': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",6,6
3320,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3321,"{'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1}",7,7
3322,"{'FR940128-2-00038': 2, 'FR940128-2-00039': 2, 'FR940128-2-00040': 2, 'FR940810-2-00019': 1}",7,4
3323,"{'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",10,6
3324,"{'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 3, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",10,6
3325,"{'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 2, 'FR940810-2-00019': 1, 'FR940810-2-00020': 3}",9,6
3326,"{'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 2, 'FR940810-2-00020': 2}",7,5
3327,{'FR940128-2-00041': 11},11,1
3328,{'FR940128-2-00041': 13},13,1
3329,"{'FR940128-2-00041': 2, 'FR940128-2-00177': 2, 'FR940810-0-00064': 1, 'FR940810-0-00065': 1, 'FR940810-0-00118': 1, 'FR940810-2-00010': 1, 'FR941006-1-00134': 1}",9,7
3330,"{'FR940128-2-00041': 1, 'FR940525-0-00030': 1, 'FR940525-0-00036': 1, 'FR940525-0-00037': 1, 'FR940525-0-00038': 1, 'FR940525-0-00041': 1, 'FR940525-0-00043': 1}",7,7
3331,"{'FR940128-2-00042': 2, 'FR940128-2-00043': 1, 'FR940128-2-00044': 2, 'FR940617-2-00044': 3, 'FR940617-2-00045': 2, 'FR940617-2-00046': 1}",11,6
3332,"{'FR940128-2-00042': 2, 'FR940128-2-00043': 4, 'FR940128-2-00044': 11, 'FR940128-2-00045': 1, 'FR940617-2-00044': 8, 'FR940617-2-00045': 4, 'FR940617-2-00046': 3, 'FR940617-2-00047': 1}",34,8
3333,"{'FR940128-2-00042': 2, 'FR940128-2-00043': 2, 'FR940128-2-00044': 7, 'FR940617-2-00044': 2, 'FR940617-2-00045': 2, 'FR940617-2-00046': 1, 'FR940617-2-00223': 1, 'FR940617-2-00224': 1}",18,8
3334,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 2, 'FR940128-2-00044': 3, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",9,6
3335,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 2, 'FR940128-2-00044': 5, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 2}",12,6
3336,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3337,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3338,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3339,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3340,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3341,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3342,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3343,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3344,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3345,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3346,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3347,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3348,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3349,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3350,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940128-2-00050': 1, 'FR940128-2-00060': 1, 'FR940525-0-00024': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR940810-0-00039': 1, 'FR940810-2-00057': 2}",12,11
3351,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940128-2-00060': 1, 'FR940525-0-00024': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR940810-2-00057': 1}",9,9
3352,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940128-2-00060': 1, 'FR940525-0-00024': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR940810-2-00057': 1}",9,9
3353,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3354,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3355,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 3, 'FR940128-2-00044': 1, 'FR940303-1-00008': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 3}",10,6
3356,"{'FR940128-2-00042': 1, 'FR940128-2-00044': 1, 'FR940128-2-00159': 1, 'FR940128-2-00161': 1, 'FR940128-2-00190': 2, 'FR940128-2-00191': 1, 'FR940128-2-00192': 2, 'FR940128-2-00193': 2, 'FR940128-2-00194': 1, 'FR940525-0-00021': 6, 'FR940617-2-00005': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00142': 1, 'FR940617-2-00214': 1, 'FR940810-2-00147': 4, 'FR941006-1-00078': 1, 'FR941006-1-00090': 2, 'FR941006-1-00097': 2, 'FR941006-1-00099': 3}",35,20
3357,"{'FR940128-2-00042': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00155': 3, 'FR940617-2-00156': 1, 'FR940617-2-00157': 4, 'FR940617-2-00159': 1, 'FR940617-2-00161': 3, 'FR940617-2-00164': 3, 'FR940617-2-00165': 3, 'FR941206-1-00060': 1}",23,12
3358,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR940617-2-00052': 1, 'FR940617-2-00100': 1, 'FR941206-1-00121': 2}",10,9
3359,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3360,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940405-1-00018': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR941206-1-00057': 1}",8,8
3361,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR941206-1-00128': 1, 'FR941206-1-00134': 1}",8,8
3362,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3363,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940405-1-00028': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR941206-1-00015': 1}",8,8
3364,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940405-1-00028': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR941206-1-00015': 1}",8,8
3365,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00044': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",7,7
3366,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3367,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3368,"{'FR940128-2-00042': 1, 'FR940128-2-00043': 1, 'FR940128-2-00045': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1}",6,6
3369,"{'FR940128-2-00043': 2, 'FR940128-2-00044': 2, 'FR940617-2-00044': 1, 'FR940617-2-00046': 2}",7,4
3370,"{'FR940128-2-00043': 2, 'FR940128-2-00044': 2, 'FR940617-2-00044': 1, 'FR940617-2-00046': 2}",7,4
3371,"{'FR940128-2-00043': 2, 'FR940128-2-00044': 4, 'FR940617-2-00044': 4, 'FR940617-2-00046': 2}",12,4
3372,"{'FR940128-2-00043': 1, 'FR940128-2-00057': 1, 'FR940128-2-00149': 3, 'FR940128-2-00229': 2, 'FR940525-0-00055': 1, 'FR940525-0-00064': 1, 'FR940617-2-00044': 1, 'FR940617-2-00045': 1, 'FR940617-2-00046': 1, 'FR940617-2-00047': 1, 'FR940617-2-00062': 1, 'FR940617-2-00066': 1, 'FR940617-2-00121': 1, 'FR940810-2-00015': 1, 'FR940810-2-00102': 1, 'FR940810-2-00135': 1, 'FR941206-1-00035': 1, 'FR941206-1-00134': 2}",22,18
3373,{'FR940128-2-00044': 6},6,1
3374,"{'FR940128-2-00044': 1, 'FR940303-1-00058': 1, 'FR940810-0-00062': 1, 'FR940810-0-00204': 1, 'FR940810-0-00214': 1, 'FR940810-0-00215': 1, 'FR940810-0-00216': 3, 'FR940810-0-00248': 1, 'FR940810-0-00253': 1, 'FR940810-0-00275': 1, 'FR940810-0-00276': 1, 'FR940810-0-00277': 3, 'FR940810-0-00306': 1, 'FR940810-0-00321': 1, 'FR940810-0-00322': 1, 'FR940810-0-00324': 3, 'FR941206-1-00003': 1, 'FR941206-1-00016': 1, 'FR941206-1-00070': 1, 'FR941206-1-00134': 4}",29,20
3375,{'FR940128-2-00046': 11},11,1
3376,{'FR940128-2-00046': 8},8,1
3377,{'FR940128-2-00046': 8},8,1
3378,{'FR940128-2-00046': 8},8,1
3379,{'FR940128-2-00046': 14},14,1
3380,{'FR940128-2-00046': 6},6,1
3381,{'FR940128-2-00046': 7},7,1
3382,"{'FR940128-2-00046': 7, 'FR940128-2-00218': 1}",8,2
3383,{'FR940128-2-00046': 11},11,1
3384,{'FR940128-2-00046': 10},10,1
3385,{'FR940128-2-00046': 11},11,1
3386,"{'FR940128-2-00046': 3, 'FR940128-2-00107': 2, 'FR940810-2-00060': 3}",8,3
3387,"{'FR940128-2-00046': 2, 'FR940128-2-00168': 2, 'FR940128-2-00209': 1, 'FR940303-1-00029': 1, 'FR940810-0-00063': 1, 'FR940810-0-00090': 1, 'FR940810-2-00113': 1, 'FR940810-2-00114': 1, 'FR941006-1-00069': 1, 'FR941006-1-00081': 1, 'FR941006-1-00083': 1, 'FR941206-1-00028': 1, 'FR941206-1-00128': 1, 'FR941206-1-00134': 13, 'FR941206-1-00142': 1}",29,15
3388,"{'FR940128-2-00047': 4, 'FR940128-2-00048': 4, 'FR940128-2-00050': 2, 'FR940617-2-00051': 2}",12,4
3389,"{'FR940128-2-00047': 4, 'FR940128-2-00048': 4, 'FR940128-2-00050': 2, 'FR940617-2-00051': 2}",12,4
3390,"{'FR940128-2-00047': 4, 'FR940128-2-00048': 4, 'FR940128-2-00050': 3, 'FR940617-2-00051': 2}",13,4
3391,"{'FR940128-2-00047': 3, 'FR940128-2-00048': 3}",6,2
3392,"{'FR940128-2-00047': 3, 'FR940128-2-00048': 3}",6,2
3393,"{'FR940128-2-00047': 3, 'FR940128-2-00048': 3}",6,2
3394,"{'FR940128-2-00047': 4, 'FR940128-2-00048': 4, 'FR940128-2-00051': 2, 'FR940128-2-00052': 2, 'FR940525-0-00025': 2}",14,5
3395,"{'FR940128-2-00047': 2, 'FR940128-2-00048': 2, 'FR940128-2-00051': 2, 'FR940128-2-00052': 2}",8,4
3396,"{'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940617-2-00051': 1, 'FR940617-2-00243': 1, 'FR940810-2-00108': 1, 'FR940810-2-00111': 1, 'FR940810-2-00113': 1}",7,7
3397,"{'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940617-2-00008': 1, 'FR940617-2-00051': 2, 'FR940617-2-00052': 1, 'FR940617-2-00057': 1, 'FR940617-2-00198': 1, 'FR940617-2-00202': 4, 'FR940617-2-00203': 1}",13,9
3398,"{'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940128-2-00052': 1, 'FR940128-2-00128': 1, 'FR940303-1-00033': 2, 'FR940525-0-00058': 1, 'FR940810-2-00024': 14, 'FR941006-1-00062': 1, 'FR941206-1-00094': 1}",23,9
3399,"{'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940128-2-00053': 1, 'FR940128-2-00204': 1, 'FR940405-1-00011': 1, 'FR940617-2-00049': 1, 'FR940617-2-00120': 1, 'FR940617-2-00198': 1, 'FR940810-2-00145': 2}",10,9
3400,"{'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940617-2-00051': 5}",7,3
3401,"{'FR940128-2-00049': 2, 'FR940617-2-00137': 1, 'FR940617-2-00138': 15, 'FR940617-2-00139': 15, 'FR940617-2-00140': 1}",34,5
3402,{'FR940128-2-00050': 11},11,1
3403,"{'FR940128-2-00050': 1, 'FR940128-2-00054': 1, 'FR940128-2-00057': 1, 'FR940405-1-00126': 1, 'FR940810-0-00003': 5, 'FR940810-0-00004': 4}",13,6
3404,"{'FR940128-2-00050': 3, 'FR940525-0-00052': 3, 'FR940525-0-00053': 2, 'FR940525-0-00075': 4, 'FR940810-2-00042': 1, 'FR941006-1-00082': 1, 'FR941006-1-00091': 3, 'FR941006-1-00092': 1, 'FR941006-1-00100': 4, 'FR941206-1-00138': 1}",23,10
3405,"{'FR940128-2-00050': 3, 'FR940128-2-00119': 4, 'FR940303-1-00036': 1, 'FR940810-2-00057': 1, 'FR941206-1-00005': 1}",10,5
3406,"{'FR940128-2-00050': 1, 'FR940810-0-00020': 2, 'FR940810-0-00021': 3, 'FR940810-0-00022': 2, 'FR940810-2-00028': 2}",10,5
3407,"{'FR940128-2-00050': 1, 'FR940128-2-00216': 5, 'FR940810-0-00002': 2, 'FR940810-0-00004': 1, 'FR940810-0-00005': 1}",10,5
3408,"{'FR940128-2-00050': 1, 'FR940128-2-00060': 1, 'FR940525-0-00023': 2, 'FR940525-0-00024': 1, 'FR940525-0-00025': 1, 'FR940525-0-00026': 1, 'FR940525-0-00027': 2, 'FR940525-0-00028': 1, 'FR940525-0-00029': 2, 'FR940810-0-00039': 1, 'FR940810-2-00057': 2}",15,11
3409,"{'FR940128-2-00050': 1, 'FR940128-2-00131': 1, 'FR940128-2-00170': 1, 'FR940128-2-00171': 1, 'FR940128-2-00213': 1, 'FR940405-1-00023': 1, 'FR940405-1-00024': 1, 'FR940810-2-00097': 2}",9,8
3410,"{'FR940128-2-00051': 2, 'FR940128-2-00052': 2, 'FR940128-2-00214': 3, 'FR940128-2-00215': 1, 'FR940617-2-00231': 1, 'FR940810-2-00036': 1, 'FR941206-1-00088': 1}",11,7
3411,"{'FR940128-2-00051': 1, 'FR940128-2-00058': 2, 'FR940405-1-00128': 1, 'FR940525-0-00058': 1, 'FR940810-0-00185': 1, 'FR940810-2-00024': 7, 'FR940810-2-00025': 20, 'FR940810-2-00043': 1, 'FR941206-1-00006': 1, 'FR941206-1-00007': 4, 'FR941206-1-00009': 4, 'FR941206-1-00010': 3, 'FR941206-1-00014': 3, 'FR941206-1-00015': 1, 'FR941206-1-00019': 1, 'FR941206-1-00021': 1}",52,16
3412,"{'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00195': 1, 'FR940128-2-00196': 1, 'FR940128-2-00197': 1, 'FR940128-2-00198': 1, 'FR940128-2-00199': 1, 'FR940128-2-00201': 1, 'FR940617-2-00150': 1}",9,9
3413,"{'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00195': 1, 'FR940128-2-00196': 1, 'FR940128-2-00197': 1, 'FR940128-2-00198': 1, 'FR940128-2-00199': 1, 'FR940128-2-00200': 1, 'FR940128-2-00201': 1, 'FR940303-1-00008': 1, 'FR940617-2-00057': 2, 'FR940617-2-00119': 1, 'FR940617-2-00121': 1, 'FR940617-2-00150': 1, 'FR940810-0-00004': 3, 'FR940810-0-00005': 3, 'FR940810-0-00006': 2}",23,17
3414,"{'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00195': 1, 'FR940128-2-00196': 1, 'FR940128-2-00197': 1, 'FR940128-2-00198': 1, 'FR940128-2-00199': 1, 'FR940128-2-00200': 1, 'FR940128-2-00201': 1, 'FR940303-1-00008': 1, 'FR940617-2-00150': 1, 'FR940810-0-00004': 2, 'FR940810-0-00005': 3, 'FR940810-0-00006': 1}",17,14
3415,"{'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00195': 1, 'FR940128-2-00196': 1, 'FR940128-2-00197': 1, 'FR940128-2-00198': 1, 'FR940128-2-00199': 1, 'FR940128-2-00200': 1, 'FR940128-2-00201': 1, 'FR940303-1-00008': 1, 'FR940617-2-00150': 1, 'FR940810-0-00004': 3, 'FR940810-0-00005': 3, 'FR940810-0-00006': 1}",18,14
3416,"{'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00195': 1, 'FR940128-2-00196': 1, 'FR940128-2-00197': 1, 'FR940128-2-00198': 1, 'FR940128-2-00199': 1, 'FR940128-2-00200': 1, 'FR940128-2-00201': 1, 'FR940303-1-00008': 1, 'FR940617-2-00150': 1, 'FR940810-0-00004': 3, 'FR940810-0-00005': 3, 'FR940810-0-00006': 1}",18,14
3417,"{'FR940128-2-00054': 4, 'FR940128-2-00055': 9, 'FR940128-2-00056': 1, 'FR940128-2-00057': 6}",20,4
3418,"{'FR940128-2-00054': 4, 'FR940128-2-00055': 6}",10,2
3419,"{'FR940128-2-00054': 4, 'FR940128-2-00055': 7, 'FR940128-2-00056': 2, 'FR940128-2-00057': 6}",19,4
3420,"{'FR940128-2-00054': 3, 'FR940128-2-00055': 3, 'FR940128-2-00057': 2}",8,3
3421,"{'FR940128-2-00054': 4, 'FR940128-2-00055': 1, 'FR940617-2-00077': 1, 'FR941206-1-00134': 2}",8,4
3422,"{'FR940128-2-00054': 1, 'FR940128-2-00055': 1, 'FR940128-2-00056': 2, 'FR940128-2-00057': 2}",6,4
3423,"{'FR940128-2-00054': 1, 'FR940128-2-00055': 3, 'FR940128-2-00057': 3}",7,3
